cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
geofyzikální průzkum,geophysical survey,amcr,HES-001046,akce_typ,typ akce,Methods,heslar:akce_typ,0
geologická sonda,geological trench,amcr,HES-001145,adb_typ,typ sondy,Methods,heslar:adb_typ,0
geologický vrt,geological core sample,amcr,HES-001144,adb_typ,typ sondy,Methods,heslar:adb_typ,0
geomorfologie,geomorphology,amcr,HES-001443,posudek_typ,posudek,Methods,heslar:posudek_typ,0
havárie/stavební narušení,accident/building disruption,amcr,HES-000597,adb_podnet,podnět,Methods,heslar:adb_podnet,0
inženýrsko-geologický průzkum,engineering-geological survey,amcr,HES-000596,adb_podnet,podnět,Methods,heslar:adb_podnet,0
jiná evidence,other evidence,amcr,HES-001061,akce_typ,typ akce,Methods,heslar:akce_typ,0
jiné expertní zpracování,other expert analysis,amcr,HES-001495,posudek_typ_kat,posudek (kategorie),Methods,heslar:posudek_typ_kat,0
jiný podnět,other motivation,amcr,HES-000599,adb_podnet,podnět,Methods,heslar:adb_podnet,0
konzervace a restaurování,conservation and restoration,amcr,HES-000629,posudek_typ,posudek,Methods,heslar:posudek_typ,0
letecký průzkum,aerial survey,amcr,HES-001045,akce_typ,typ akce,Methods,heslar:akce_typ,0
liniová stavba,line construction,amcr,HES-000600,adb_podnet,podnět,Methods,heslar:adb_podnet,0
makrozbytková analýza,macroremains analysis,amcr,HES-000620,posudek_typ,posudek,Methods,heslar:posudek_typ,0
materiálová analýza,material analysis,amcr,HES-000633,posudek_typ,posudek,Methods,heslar:posudek_typ,0
materiálové analýzy,material analysis,amcr,HES-001494,posudek_typ_kat,posudek (kategorie),Methods,heslar:posudek_typ_kat,0
metalografie,metallography,amcr,HES-000630,posudek_typ,posudek,Methods,heslar:posudek_typ,0
mikrosondáž/vzorkovací sondáž,shovel tests/test pitting,amcr,HES-001051,akce_typ,typ akce,Methods,heslar:akce_typ,1
mikrostratigrafie,microstratigraphy,amcr,HES-001444,posudek_typ,posudek,Methods,heslar:posudek_typ,0
nedestruktivní průzkum,non-destructive survey,amcr,HES-001063,akce_typ_kat,typ akce (kategorie),Methods,heslar:akce_typ_kat,0
nedokumentovaná akce,undocumented fieldwork,amcr,HES-001054,akce_typ,typ akce,Methods,heslar:akce_typ,0
neodborné narušení,non-professional intervention,amcr,HES-001140,adb_typ,typ sondy,Methods,heslar:adb_typ,0
neznámý,unknown,amcr,HES-000601,adb_podnet,podnět,Methods,heslar:adb_podnet,0
numismatika,numismatics,amcr,HES-000623,posudek_typ,posudek,Methods,heslar:posudek_typ,0
náhodný zásah/nález,chance find,amcr,HES-001053,akce_typ,typ akce,Methods,heslar:akce_typ,0
náhodný/povrchový nález,chance find,amcr,HES-001139,adb_typ,typ sondy,Methods,heslar:adb_typ,1
obdělávání půdy,farming,amcr,HES-000602,adb_podnet,podnět,Methods,heslar:adb_podnet,0
odborný záměr,expert project,amcr,HES-000594,adb_podnet,podnět,Methods,heslar:adb_podnet,0
orientační zjištění,brief evidence,amcr,HES-001055,akce_typ,typ akce,Methods,heslar:akce_typ,0
osteozoologie,osteozoology,amcr,HES-001440,posudek_typ,posudek,Methods,heslar:posudek_typ,0
paleoklimatologie,paleoclimatology,amcr,HES-001445,posudek_typ,posudek,Methods,heslar:posudek_typ,0
palynologie,palynology,amcr,HES-000625,posudek_typ,posudek,Methods,heslar:posudek_typ,0
pedologie,pedology,amcr,HES-000627,posudek_typ,posudek,Methods,heslar:posudek_typ,0
petrografie/mineralogie,petrography,amcr,HES-000628,posudek_typ,posudek,Methods,heslar:posudek_typ,0
plošný odkryv,total excavation,amcr,HES-001059,akce_typ,typ akce,Methods,heslar:akce_typ,0
povrchový nález,surface find,amcr,HES-001049,akce_typ,typ akce,Methods,heslar:akce_typ,1
povrchový sběr,surface collection survey,amcr,HES-001050,akce_typ,typ akce,Methods,heslar:akce_typ,0
prvková analýza,elemental analysis,amcr,HES-000631,posudek_typ,posudek,Methods,heslar:posudek_typ,0
průzkum detektorem kovu,metal detector survey,amcr,HES-001052,akce_typ,typ akce,Methods,heslar:akce_typ,0
radiouhlíkové datování,radiocarbon dating,amcr,HES-000608,posudek_typ,posudek,Methods,heslar:posudek_typ,0
skupina sond,group of pit trenches,amcr,HES-001151,adb_typ,typ sondy,Methods,heslar:adb_typ,0
skupina vrtů,group of sediment core samples,amcr,HES-001147,adb_typ,typ sondy,Methods,heslar:adb_typ,0
skupina řezů,group of linear trenches,amcr,HES-001149,adb_typ,typ sondy,Methods,heslar:adb_typ,0
skupina/síť sond,group of pit trenches,amcr,HES-001058,akce_typ,typ akce,Methods,heslar:akce_typ,0
sonda,pit trench,amcr,HES-001057,akce_typ,typ akce,Methods,heslar:akce_typ,0
stavba,construction,amcr,HES-000603,adb_podnet,podnět,Methods,heslar:adb_podnet,1
stavebně-historický průzkum,building-historical survey,amcr,HES-000632,posudek_typ,posudek,Methods,heslar:posudek_typ,0
tafonomie,taphonomy,amcr,HES-001441,posudek_typ,posudek,Methods,heslar:posudek_typ,0
terénní odkryv,field excavation,amcr,HES-001066,akce_typ_kat,typ akce (kategorie),Methods,heslar:akce_typ_kat,0
terénní zásah,field intervention,amcr,HES-001065,akce_typ_kat,typ akce (kategorie),Methods,heslar:akce_typ_kat,0
vertikální řez,linear trench,amcr,HES-001056,akce_typ,typ akce,Methods,heslar:akce_typ,0
vizuální/geodetický průzkum,visual/geodetic survey,amcr,HES-001044,akce_typ,typ akce,Methods,heslar:akce_typ,1
vrt,sediment core sample,amcr,HES-001146,adb_typ,typ sondy,Methods,heslar:adb_typ,0
výzkum povrchové vrstvy,topsoil sampling,amcr,HES-001064,akce_typ_kat,typ akce (kategorie),Methods,heslar:akce_typ_kat,0
řez,linear trench,amcr,HES-001148,adb_typ,typ sondy,Methods,heslar:adb_typ,0
Artemísion,Artemisium,teater,1306,1267,kultovní areál,Activity Area,teater:1267,0
Asklépieion,Asclepeion,teater,1307,1267,kultovní areál,Activity Area,teater:1267,0
Loretánská kaple,Loreto chapel,teater,1331,1267,kultovní areál,Activity Area,teater:1267,0
Métróon,Metroon,teater,1313,1267,kultovní areál,Activity Area,teater:1267,0
agora,agora,teater,1469,1267,veřejné prostranství,Activity Area,teater:1267,0
akropole,acropolis,teater,1424,1267,sídlo elity,Activity Area,teater:1267,0
akvadukt,aqueduct,teater,1414,1267,pozemní komunikace (areály),Activity Area,teater:1267,0
amfiprostylos,amphiprostyle,teater,1305,1267,kultovní areál,Activity Area,teater:1267,0
antické město,ancient city,teater,1395,1267,nadkomunitní areál,Activity Area,teater:1267,0
antický chrám,ancient temple,teater,1304,1267,kultovní areál,Activity Area,teater:1267,0
apoikia,apoikia,teater,1442,1267,sídliště,Activity Area,teater:1267,0
augustiniánský klášter,Augustinian monastery,teater,1360,1267,nadkomunitní areál,Activity Area,teater:1267,0
bazilika,basilica,teater,1334,1267,kultovní areál,Activity Area,teater:1267,0
baziliánský klášter,Basilian monastery,teater,1384,1267,nadkomunitní areál,Activity Area,teater:1267,0
benediktinský klášter,Benedictine monastery,teater,1361,1267,nadkomunitní areál,Activity Area,teater:1267,0
boží muka a křížky,wayside shrines and crosses,teater,1323,1267,kultovní areál,Activity Area,teater:1267,0
castellum,castellum,teater,1292,1267,areál vojenských aktivit,Activity Area,teater:1267,0
chronologie (města),chronology (cities),teater,1394,1267,nadkomunitní areál,Activity Area,teater:1267,0
chrám,temple,teater,3865,1267,kultovní areál,Activity Area,teater:1267,0
cisterciácký klášter,Cistercian monastery,teater,1362,1267,nadkomunitní areál,Activity Area,teater:1267,0
colonia,colonia,teater,1353,1267,nadkomunitní areál,Activity Area,teater:1267,0
církevní architektura,church architecture,teater,1322,1267,kultovní areál,Activity Area,teater:1267,0
dipteros,dipteros,teater,1308,1267,kultovní areál,Activity Area,teater:1267,0
dominikánský klášter,Dominican monastery,teater,1363,1267,nadkomunitní areál,Activity Area,teater:1267,0
dvojitý klášter,double monastery,teater,1358,1267,nadkomunitní areál,Activity Area,teater:1267,0
dvorec,manorial farm,teater,1425,1267,sídlo elity,Activity Area,teater:1267,1
dvůr,court,teater,1426,1267,sídlo elity,Activity Area,teater:1267,1
démos (sídliště),Demos (settlement),teater,1444,1267,sídliště,Activity Area,teater:1267,0
dóm,duomo,teater,3864,1267,kultovní areál,Activity Area,teater:1267,0
dřevěná kaple,wooden chapel,teater,1329,1267,kultovní areál,Activity Area,teater:1267,0
dřevěný kostel,wooden church,teater,1335,1267,kultovní areál,Activity Area,teater:1267,0
evangelický kostel,Evangelical temple,teater,1338,1267,kultovní areál,Activity Area,teater:1267,0
františkánský klášter,Franciscan monastery,teater,1364,1267,nadkomunitní areál,Activity Area,teater:1267,0
funkce (města),function (town),teater,1387,1267,nadkomunitní areál,Activity Area,teater:1267,0
fórum,forum,teater,1470,1267,veřejné prostranství,Activity Area,teater:1267,0
hekatompedon,hekatompedon temple,teater,1309,1267,kultovní areál,Activity Area,teater:1267,0
hlavní město,capital city,teater,1388,1267,nadkomunitní areál,Activity Area,teater:1267,0
hlubinný důl,underground mine,teater,1461,1267,těžební areál,Activity Area,teater:1267,0
hornické sídliště,mineworkers´ settlement,teater,1448,1267,sídliště,Activity Area,teater:1267,0
horní město,mining town,teater,1389,1267,nadkomunitní areál,Activity Area,teater:1267,0
horská silnice,mountain road,teater,1417,1267,pozemní komunikace (areály),Activity Area,teater:1267,0
hradní architektura,castle architecture,teater,1430,1267,sídlo elity,Activity Area,teater:1267,0
hrádek,fortified manor,teater,1428,1267,sídlo elity,Activity Area,teater:1267,1
héróon,heroon,teater,1310,1267,kultovní areál,Activity Area,teater:1267,0
hřbitov,cemetery,teater,1408,1267,pohřební areál,Activity Area,teater:1267,1
hřbitovní kaple,cemetery chapel,teater,1330,1267,kultovní areál,Activity Area,teater:1267,0
in antis,distyle in antis,teater,1311,1267,kultovní areál,Activity Area,teater:1267,0
islámská architektura,Islamic architecture,teater,1343,1267,kultovní areál,Activity Area,teater:1267,0
jeskynní hrad,cave castle,teater,1431,1267,sídlo elity,Activity Area,teater:1267,0
kabeirion,cabeirion,teater,1312,1267,kultovní areál,Activity Area,teater:1267,0
kalvárie,calvary,teater,1324,1267,kultovní areál,Activity Area,teater:1267,0
kamenný kříž,stone cross,teater,1325,1267,kultovní areál,Activity Area,teater:1267,0
kamenolom,stone quarry,teater,1465,1267,těžební areál,Activity Area,teater:1267,0
kapitula,chapter house,teater,1327,1267,kultovní areál,Activity Area,teater:1267,0
kapucínský klášter,Capuchin monastery,teater,1365,1267,nadkomunitní areál,Activity Area,teater:1267,0
karmelitánský klášter,Carmelite monastery,teater,1366,1267,nadkomunitní areál,Activity Area,teater:1267,0
kartuziánský klášter,Carthusian monastery,teater,1367,1267,nadkomunitní areál,Activity Area,teater:1267,0
kasárna,barracks,teater,1449,1267,sídliště,Activity Area,teater:1267,0
katedrála,cathedral,teater,1336,1267,kultovní areál,Activity Area,teater:1267,0
katolický klášter,Catholic monastery,teater,1359,1267,nadkomunitní areál,Activity Area,teater:1267,0
katolický kostel,Catholic church,teater,1339,1267,kultovní areál,Activity Area,teater:1267,0
kačkar,khachkar,teater,1326,1267,kultovní areál,Activity Area,teater:1267,0
keltské oppidum,Celtic oppidum,teater,1355,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter benediktinek,Benedictine nunnery,teater,1368,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter brigitinek,Bridgettine nunnery,teater,1369,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter cisterciaček,Cistercian nunnery,teater,1370,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter dominikánek,Dominican nunnery,teater,1371,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter kamaldulů,Camaldolese monastery,teater,1372,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter klaristek,monastery of Clares,teater,1373,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter křížovníků,monastery of Knights of the Cross,teater,1374,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter mariánů,monastery of Marian Fathers,teater,1375,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter servitů,Servite monastery,teater,1376,1267,nadkomunitní areál,Activity Area,teater:1267,0
klášter voršilek,monastery of Ursulines,teater,1377,1267,nadkomunitní areál,Activity Area,teater:1267,0
komenda,commandery,teater,1450,1267,sídliště,Activity Area,teater:1267,0
konfesní rozdělení,confessional division,teater,1337,1267,kultovní areál,Activity Area,teater:1267,0
kromlech,cromlech,teater,1346,1267,kultovní areál,Activity Area,teater:1267,0
královské město,royal town,teater,1399,1267,nadkomunitní areál,Activity Area,teater:1267,0
křesťanský klášter,Christian monastery,teater,1357,1267,nadkomunitní areál,Activity Area,teater:1267,0
křížová cesta,ways of the Cross,teater,1342,1267,kultovní areál,Activity Area,teater:1267,0
loděnice,dockyard,teater,1473,1267,vodní komunikace,Activity Area,teater:1267,0
lovecký zámek,hunting chateaux,teater,1440,1267,sídlo elity,Activity Area,teater:1267,0
lázně,spa,teater,1269,1267,areál jiné aktivity,Activity Area,teater:1267,0
majetnický a votivní depot,votive deposit,teater,1300,1267,depot,Activity Area,teater:1267,0
megalitická památka,megalith,teater,1347,1267,kultovní areál,Activity Area,teater:1267,0
metropole,metropolis,teater,1390,1267,nadkomunitní areál,Activity Area,teater:1267,0
mešita,mosque,teater,1344,1267,kultovní areál,Activity Area,teater:1267,0
mincovní poklad,coin treasure,teater,1302,1267,depot,Activity Area,teater:1267,0
minoritský klášter,Minorite monastery,teater,1378,1267,nadkomunitní areál,Activity Area,teater:1267,0
mohylník,barrow cemetery,teater,1410,1267,pohřební areál,Activity Area,teater:1267,0
monastýr,monastery (Eastern Orthodox Church),teater,1383,1267,nadkomunitní areál,Activity Area,teater:1267,0
monopteros,monopteros,teater,1314,1267,kultovní areál,Activity Area,teater:1267,0
municipium,municipium,teater,1396,1267,nadkomunitní areál,Activity Area,teater:1267,0
městečko,small town,teater,1445,1267,sídliště,Activity Area,teater:1267,1
městské opevnění,town fortification,teater,1286,1267,areál vojenských aktivit,Activity Area,teater:1267,0
městský hrad,town palace,teater,1432,1267,sídlo elity,Activity Area,teater:1267,0
náměstí,square,teater,1471,1267,veřejné prostranství,Activity Area,teater:1267,0
obora (myslivost),game park,teater,1294,1267,areál zemědělské výroby,Activity Area,teater:1267,0
obětiště,sacrifice site,teater,1348,1267,kultovní areál,Activity Area,teater:1267,0
okrasný sad,ornamental orchard,teater,1273,1267,areál jiné aktivity,Activity Area,teater:1267,0
pastvina,pasture,teater,1295,1267,areál zemědělské výroby,Activity Area,teater:1267,1
paulánský klášter,Minim monastery,teater,1379,1267,nadkomunitní areál,Activity Area,teater:1267,0
peribolos,peribolos,teater,1315,1267,kultovní areál,Activity Area,teater:1267,0
peripteros,peripteros,teater,1316,1267,kultovní areál,Activity Area,teater:1267,0
piaristický klášter,Piarist monastery,teater,1380,1267,nadkomunitní areál,Activity Area,teater:1267,0
plavební kanál,canal,teater,1478,1267,vodní stavba,Activity Area,teater:1267,0
pobřežní opevnění,coastal fortification,teater,1288,1267,areál vojenských aktivit,Activity Area,teater:1267,0
poddanské město,tributary town,teater,1400,1267,nadkomunitní areál,Activity Area,teater:1267,0
podhradí,extramural settlement,teater,1446,1267,sídliště,Activity Area,teater:1267,0
pohřebiště,burrial ground,teater,1411,1267,pohřební areál,Activity Area,teater:1267,1
pohřebiště v sakralní stavbě,burials in sacral building,teater,1412,1267,pohřební areál,Activity Area,teater:1267,0
poklad,treasure,teater,1301,1267,depot,Activity Area,teater:1267,0
poplužní dvůr,Meierhof,teater,1427,1267,sídlo elity,Activity Area,teater:1267,0
posvátný háj,sacred grove,teater,3861,1267,kultovní areál,Activity Area,teater:1267,0
poutní místo,pilgrimage place,teater,1349,1267,kultovní areál,Activity Area,teater:1267,0
povrchový důl,opencast mine,teater,1462,1267,těžební areál,Activity Area,teater:1267,0
pozemní komunikace (areály),land communication (areas),teater,1413,1267,pozemní komunikace (areály),Activity Area,teater:1267,0
pravoslavný kostel,Orthodox church,teater,1340,1267,kultovní areál,Activity Area,teater:1267,0
premonstrátský klášter,Premonstratensian monastery,teater,1381,1267,nadkomunitní areál,Activity Area,teater:1267,0
prostylos,prostylos,teater,1317,1267,kultovní areál,Activity Area,teater:1267,0
protourbánní osídlení,proto-urban settlement,teater,1402,1267,nadkomunitní areál,Activity Area,teater:1267,0
průmyslové město,industrial town,teater,1391,1267,nadkomunitní areál,Activity Area,teater:1267,0
pískovna,sandpit,teater,1466,1267,těžební areál,Activity Area,teater:1267,0
příkopové ohrazení,ditch enclosure,teater,1404,1267,nadkomunitní areál,Activity Area,teater:1267,0
přístav,port,teater,1474,1267,vodní komunikace,Activity Area,teater:1267,0
přístavní město,seaport,teater,1392,1267,nadkomunitní areál,Activity Area,teater:1267,0
rondel,roundel,teater,1405,1267,nadkomunitní areál,Activity Area,teater:1267,1
rotunda,rotunda,teater,1341,1267,kultovní areál,Activity Area,teater:1267,0
sad,orchard,teater,1297,1267,areál zemědělské výroby,Activity Area,teater:1267,1
sedm divů světa,Wonders of the World,teater,1422,1267,sedm divů světa,Activity Area,teater:1267,0
silnice,road,teater,1416,1267,pozemní komunikace (areály),Activity Area,teater:1267,0
silniční síť,road network,teater,1418,1267,pozemní komunikace (areály),Activity Area,teater:1267,0
skalní hrad,rock castle,teater,1433,1267,sídlo elity,Activity Area,teater:1267,0
skalní kaple,rock chapel,teater,1332,1267,kultovní areál,Activity Area,teater:1267,0
